cell,method,iteration,reward,changed,n_chars,n_words,n_clauses,n_numeric_caps,n_stock_conditionals,is_state_contingent,has_moratorium,has_equal_split,has_enforcement,has_rotation,has_amendment_rule
gemma4-31b,baseline,0,2.21,False,130,23,2,0,0,False,False,True,False,False,False
gemma4-31b,baseline,1,1.946,False,130,23,2,0,0,False,False,True,False,False,False
gemma4-31b,baseline,2,2.223,False,130,23,2,0,0,False,False,True,False,False,False
gemma4-31b,baseline,3,2.233,False,130,23,2,0,0,False,False,True,False,False,False
gemma4-31b,baseline,4,1.555,False,130,23,2,0,0,False,False,True,False,False,False
gemma4-31b,textgrad,0,2.353,False,130,23,2,0,0,False,False,True,False,False,False
gemma4-31b,textgrad,1,2.384,True,505,94,7,1,2,True,False,True,False,False,True
gemma4-31b,textgrad,2,1.537,True,759,130,8,0,0,False,False,True,False,False,True
gemma4-31b,textgrad,3,2.45,True,648,116,6,0,6,True,False,True,False,False,True
gemma4-31b,textgrad,4,2.359,True,623,115,6,0,3,True,True,True,False,False,True
gemma4-31b,ace,0,2.135,False,130,23,2,0,0,False,False,True,False,False,False
gemma4-31b,ace,1,2.17,True,1143,206,6,2,2,True,False,True,True,False,True
gemma4-31b,ace,2,2.378,True,1950,315,7,0,2,True,False,True,True,False,True
gemma4-31b,ace,3,2.262,True,1778,289,7,0,2,True,False,True,True,False,True
gemma4-31b,ace,4,2.369,True,1800,295,11,0,2,True,False,True,True,False,True
luna,baseline,0,1.906,False,130,23,2,0,0,False,False,True,False,False,False
luna,baseline,1,1.439,False,130,23,2,0,0,False,False,True,False,False,False
luna,baseline,2,2.159,False,130,23,2,0,0,False,False,True,False,False,False
luna,baseline,3,2.374,False,130,23,2,0,0,False,False,True,False,False,False
luna,baseline,4,0.943,False,130,23,2,0,0,False,False,True,False,False,False
luna,textgrad,0,1.014,False,130,23,2,0,0,False,False,True,False,False,False
luna,textgrad,1,1.945,True,744,136,5,4,4,True,True,True,False,False,True
luna,textgrad,2,2.338,True,777,139,5,3,4,True,True,True,False,False,True
luna,textgrad,3,2.403,True,779,139,5,3,4,True,True,True,False,False,True
luna,textgrad,4,0.846,True,1019,194,7,7,7,True,True,True,False,False,True
luna,ace,0,2.208,False,130,23,2,0,0,False,False,True,False,False,False
luna,ace,1,0.796,True,200,31,1,0,0,False,False,True,False,False,True
luna,ace,2,-0.464,True,2424,392,9,2,5,True,True,True,True,False,True
luna,ace,3,2.227,True,2484,395,15,2,7,True,True,True,True,True,True
luna,ace,4,-0.137,True,2034,308,7,2,1,True,True,True,True,True,True
sonnet5-off,baseline,0,1.935,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-off,baseline,1,2.162,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-off,baseline,2,2.36,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-off,baseline,3,1.905,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-off,baseline,4,2.074,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-off,textgrad,0,1.999,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-off,textgrad,1,1.982,True,591,119,3,0,0,False,False,True,False,False,False
sonnet5-off,textgrad,2,1.973,True,480,104,4,0,0,False,False,True,False,False,True
sonnet5-off,textgrad,3,2.131,True,660,131,4,0,0,False,True,True,False,False,False
sonnet5-off,textgrad,4,1.899,True,693,143,5,0,0,False,True,True,False,False,False
sonnet5-off,ace,0,2.184,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-off,ace,1,2.245,True,1321,224,7,3,4,True,True,True,True,False,True
sonnet5-off,ace,2,2.243,True,1219,206,6,2,3,True,True,True,True,False,True
sonnet5-off,ace,3,2.314,True,1453,240,6,4,5,True,True,True,True,False,True
sonnet5-off,ace,4,2.133,True,1347,229,10,0,8,True,True,True,True,False,True
sonnet5-on,baseline,0,2.11,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-on,baseline,1,2.232,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-on,baseline,2,2.166,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-on,baseline,3,2.056,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-on,baseline,4,2.164,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-on,textgrad,0,2.125,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-on,textgrad,1,1.888,True,497,89,2,0,2,True,False,True,True,False,False
sonnet5-on,textgrad,2,2.273,True,661,124,3,1,4,True,True,True,False,False,True
sonnet5-on,textgrad,3,2.398,True,806,147,6,1,5,True,True,True,False,False,True
sonnet5-on,textgrad,4,2.126,True,960,181,8,1,9,True,True,True,False,False,True
sonnet5-on,ace,0,2.114,False,130,23,2,0,0,False,False,True,False,False,False
sonnet5-on,ace,1,2.285,True,1639,269,5,3,5,True,True,True,True,False,True
sonnet5-on,ace,2,2.179,True,1409,228,6,3,3,True,True,True,True,False,True
sonnet5-on,ace,3,2.4,True,1409,229,6,3,5,True,True,True,True,False,True
sonnet5-on,ace,4,2.278,True,1568,269,7,1,9,True,False,True,False,False,True
opus48,baseline,0,2.478,False,130,23,2,0,0,False,False,True,False,False,False
opus48,baseline,1,2.31,False,130,23,2,0,0,False,False,True,False,False,False
opus48,baseline,2,2.395,False,130,23,2,0,0,False,False,True,False,False,False
opus48,baseline,3,2.437,False,130,23,2,0,0,False,False,True,False,False,False
opus48,baseline,4,2.464,False,130,23,2,0,0,False,False,True,False,False,False
opus48,textgrad,0,2.483,False,130,23,2,0,0,False,False,True,False,False,False
opus48,textgrad,1,2.393,True,535,105,5,4,2,True,False,True,False,False,True
opus48,textgrad,2,2.453,True,816,146,6,1,4,True,True,True,False,False,True
opus48,textgrad,3,2.5,True,831,149,7,2,3,True,True,True,False,False,True
opus48,textgrad,4,2.481,True,820,147,7,3,3,True,True,True,True,False,True
opus48,ace,0,2.412,False,130,23,2,0,0,False,False,True,False,False,False
opus48,ace,1,2.321,True,1751,288,9,1,3,True,True,True,True,False,True
opus48,ace,2,2.259,True,1613,258,9,5,5,True,True,True,True,False,True
opus48,ace,3,2.226,True,1373,241,10,5,6,True,True,True,True,False,True
opus48,ace,4,2.469,True,1809,313,10,4,9,True,True,True,True,False,True
sol,baseline,0,-0.426,False,130,23,2,0,0,False,False,True,False,False,False
sol,baseline,1,-0.425,False,130,23,2,0,0,False,False,True,False,False,False
sol,baseline,2,-0.083,False,130,23,2,0,0,False,False,True,False,False,False
sol,baseline,3,-0.083,False,130,23,2,0,0,False,False,True,False,False,False
sol,baseline,4,-0.083,False,130,23,2,0,0,False,False,True,False,False,False
sol,textgrad,0,1.05,False,130,23,2,0,0,False,False,True,False,False,False
sol,textgrad,1,-0.364,True,580,106,4,3,3,True,False,True,False,False,True
sol,textgrad,2,-0.097,True,773,147,7,2,4,True,True,True,True,False,True
sol,textgrad,3,0.35,True,860,143,6,0,5,True,False,True,False,False,True
sol,textgrad,4,-0.54,True,742,133,6,1,3,True,True,True,True,False,True
sol,ace,0,-0.406,False,130,23,2,0,0,False,False,True,False,False,False
sol,ace,1,-0.429,True,1919,318,8,0,2,True,True,True,True,False,True
sol,ace,2,-0.361,True,1982,328,7,1,4,True,True,True,True,False,True
sol,ace,3,-0.412,True,1668,262,6,0,2,True,True,True,True,False,True
sol,ace,4,-0.399,True,2071,339,8,2,5,True,True,True,True,False,True
